Number.1,Myco,Fertilizer,Percent.Inhibition2,damage..mm2.,damage2,Atesome,log_cat,Biomass,N_Percent1,C_Percent2,S_Percent3,CNRatio
186,No Mycorrhizae,Low,NA,1,1,1,NA,0.2879,1.122780561,37.15342712,0.982527673,33.09054947
187,No Mycorrhizae,Low,NA,1,1,1,NA,0.19205,1.425913811,39.026474,0.811142325,27.36944771
192,No Mycorrhizae,Medium,9.189069,NA,0,0,2.218014625,0.64235,1.003469467,39.07421112,0.851628184,38.93911362
193,No Mycorrhizae,Low,14.71795,NA,0,0,2.689067837,0.14765,1.239664197,37.25723648,1.081185699,30.05429649
194,No Mycorrhizae,Low,4.620959,NA,0,0,1.530602259,0.0901,1.615472794,39.132164,1.079109907,24.22335052
197,No Mycorrhizae,Low,NA,4,4,1,NA,0.25312,1.10714972,40.15779495,0.900081992,36.27133179
198,No Mycorrhizae,High,13.98021,1,1,1,2.637642758,0.57052,1.462869525,41.45316696,0.496446013,28.33688545
199,No Mycorrhizae,Medium,0,1,1,1,NA,0.6578,1.014694691,38.59123993,0.796357453,38.03236771
200,No Mycorrhizae,Medium,NA,14,14,1,NA,0.76497,1.232940912,41.65225601,0.708978832,33.78284836
201,No Mycorrhizae,Medium,NA,7,7,1,NA,0.53334,1.180336237,40.27277756,0.664529443,34.11975098
202,No Mycorrhizae,Medium,2.509864,2,2,1,0.920228568,0.56357,1.535021186,40.72701263,0.954460144,26.53188896
203,No Mycorrhizae,Medium,33.09402,NA,0,0,3.499352601,0.66423,1.166061401,38.92599869,0.880475581,33.38246155
204,No Mycorrhizae,High,27.79329,5,5,1,3.324794625,0.52031,1.787770629,39.61604691,1.095779538,22.1594677
206,No Mycorrhizae,Low,12.57969,1,1,1,2.532083609,0.12942,1.45346117,37.64899063,1.094699144,25.90299034
207,No Mycorrhizae,Low,1.585688,3,3,1,0.461018383,0.16428,1.158490539,37.26912689,1.057611465,32.1704216
208,No Mycorrhizae,Medium,22.30157,NA,0,0,3.10465708,0.6866,1.410235405,41.6914711,0.85425514,29.56348419
210,No Mycorrhizae,Low,NA,3,3,1,NA,0.15854,1.391941667,43.42424011,1.253061414,31.19688225
211,No Mycorrhizae,Low,NA,5,5,1,NA,0.13177,1.520655274,38.73088837,0.804755509,25.46986771
212,No Mycorrhizae,High,10.63872,18,18,1,2.364500176,0.88514,1.292120337,40.69706345,0.81022191,31.49634171
213,No Mycorrhizae,Low,12.07963,NA,0,0,2.491520563,0.18253,1.263303638,38.50457764,1.045862079,30.47927475
215,No Mycorrhizae,Medium,25.21151,0.5,0.5,1,3.227300636,0.7605,1.15545404,40.73740005,0.734293461,35.25661469
218,No Mycorrhizae,Medium,39.58301,3,3,1,3.678399986,0.60987,1.661411762,38.37459183,0.927704692,23.09757996
